Date,NtaCode,Thefts,TransitOfPeople,MarketTurnover
2020-01-17,QN51,0.0,6746,13493.74
2020-01-18,QN51,0.0,3649,7298.77
2020-01-19,QN51,0.0,1633,3266.17
2020-01-20,QN51,0.0,1751,3503.95
2020-01-21,QN51,1.0,15373,21522.28
2020-01-22,QN51,2.0,7025,6673.87
2020-01-23,QN51,1.0,11868,16615.55
2020-01-24,QN51,0.0,6945,13890.66
2020-01-25,QN51,1.0,15792,22109.84
2020-01-26,QN51,0.0,2606,5212.66
2020-01-27,QN51,0.0,4299,8599.98
2020-01-28,QN51,0.0,1203,2407.51
2020-01-29,QN51,1.0,13205,18488.33
2020-01-30,QN51,0.0,6242,12484.88
2020-01-31,QN51,1.0,14813,20738.47
2020-01-01,QN27,2.0,7094,6739.31
2020-01-02,QN27,0.0,6333,12667.18
2020-01-03,QN27,1.0,15088,21123.36
2020-01-04,QN27,0.0,1792,3584.56
2020-01-05,QN27,1.0,13139,18395.07
2020-01-06,QN27,1.0,15831,22164.02
2020-01-07,QN27,0.0,6234,12469.45
2020-01-08,QN27,1.0,16758,23461.45
2020-01-09,QN27,0.0,2049,4098.76
2020-01-10,QN27,1.0,12512,17517.3
2020-01-11,QN27,3.0,5455,4909.95
2020-01-12,QN27,0.0,6913,13827.78
2020-01-13,QN27,2.0,7262,6899.01
2020-01-14,QN27,2.0,6912,6567.35
2020-01-15,QN27,0.0,1486,2973.31
2020-01-16,QN27,0.0,4425,8850.52
2020-01-17,QN27,1.0,15497,21696.14
2020-01-18,QN27,0.0,4907,9814.42
2020-01-19,QN27,0.0,3070,6140.6
2020-01-20,QN27,0.0,6672,13345.07
2020-01-21,QN27,2.0,6749,6412.43
2020-01-22,QN27,0.0,5698,11396.91
2020-01-23,QN27,1.0,14632,20485.38
2020-01-24,QN27,2.0,7154,6796.74
2020-01-25,QN27,2.0,6635,6304.13
2020-01-26,QN27,0.0,1261,2522.04
2020-01-27,QN27,1.0,16464,23050.57
2020-01-28,QN27,2.0,6966,6618.61
2020-01-29,QN27,0.0,2599,5199.32
2020-01-30,QN27,0.0,3063,6126.01
2020-01-31,QN27,0.0,3382,6765.72
2020-01-01,QN07,2.0,5944,5647.52
2020-01-02,QN07,0.0,13971,27942.56
2020-01-03,QN07,3.0,7681,6913.48
2020-01-04,QN07,0.0,8970,17941.97
2020-01-05,QN07,1.0,41218,57706.58
2020-01-06,QN07,0.0,18652,37305.85
2020-01-07,QN07,1.0,37197,52076.55
2020-01-08,QN07,0.0,4246,8492.25
2020-01-09,QN07,2.0,6729,6393.26
2020-01-10,QN07,2.0,6259,5946.88
2020-01-11,QN07,0.0,11602,23204.35
2020-01-12,QN07,1.0,38987,54582.66
2020-01-13,QN07,0.0,17205,34410.6
2020-01-14,QN07,1.0,40351,56491.57
2020-01-15,QN07,0.0,19516,39032.36
2020-01-16,QN07,0.0,9857,19714.39
2020-01-17,QN07,0.0,4599,9198.13
2020-01-18,QN07,2.0,6342,6024.96
2020-01-19,QN07,0.0,16515,33031.25
2020-01-20,QN07,2.0,6114,5809.23
2020-01-21,QN07,1.0,42702,59783.31
2020-01-22,QN07,0.0,16330,32661.91
2020-01-23,QN07,0.0,5283,10566.73
2020-01-24,QN07,0.0,18164,36328.74
2020-01-25,QN07,0.0,6792,13584.27
2020-01-26,QN07,2.0,6637,6305.64
2020-01-27,QN07,0.0,10002,20005.48
2020-01-28,QN07,3.0,7629,6866.46
2020-01-29,QN07,0.0,14516,29033.11
2020-01-30,QN07,2.0,6759,6421.42
2020-01-31,QN07,0.0,18140,36281.57
2020-01-01,BK25,0.0,1676,3352.2
2020-01-02,BK25,0.0,1707,3414.68
2020-01-03,BK25,1.0,14665,20532.35
2020-01-04,BK25,1.0,15137,21192.05
2020-01-05,BK25,1.0,14595,20433.52
2020-01-06,BK25,0.0,4225,8450.24
2020-01-07,BK25,2.0,6495,6171.03
2020-01-08,BK25,0.0,4577,9155.54
2020-01-09,BK25,0.0,1409,2819.58
2020-01-10,BK25,1.0,13688,19163.38
2020-01-11,BK25,0.0,3539,7079.79
2020-01-12,BK25,1.0,13355,18697.8
2020-01-13,BK25,0.0,5272,10544.73
2020-01-14,BK25,0.0,5212,10424.6
2020-01-15,BK25,0.0,4828,9657.62
2020-01-16,BK25,0.0,2859,5718.21
2020-01-17,BK25,0.0,2908,5817.38
2020-01-18,BK25,1.0,15002,21003.31
2020-01-19,BK25,2.0,6856,6513.77
2020-01-20,BK25,0.0,3002,6005.71
2020-01-21,BK25,0.0,2147,4294.13
2020-01-22,BK25,1.0,14279,19990.94
2020-01-23,BK25,2.0,6301,5986.56
2020-01-24,BK25,1.0,15024,21034.81
2020-01-25,BK25,0.0,3514,7029.16
2020-01-26,BK25,1.0,13209,18493.74
2020-01-27,BK25,1.0,12509,17513.92
2020-01-28,BK25,0.0,2009,4018.14
2020-01-29,BK25,2.0,6184,5875.42
2020-01-30,BK25,1.0,11919,16687.49
2020-01-31,BK25,0.0,1444,2889.52
2020-01-01,QN41,0.0,8955,17910.19
2020-01-02,QN41,0.0,16747,33494.18
2020-01-03,QN41,0.0,10856,21713.68
2020-01-04,QN41,2.0,8821,8380.59
2020-01-05,QN41,1.0,50845,71183.03
2020-01-06,QN41,1.0,50372,70521.5
2020-01-07,QN41,1.0,48119,67366.83
2020-01-08,QN41,1.0,62983,88176.21
2020-01-09,QN41,1.0,47310,66234.38
2020-01-10,QN41,0.0,23146,46293.16
2020-01-11,QN41,2.0,8912,8466.67
2020-01-12,QN41,0.0,17023,34047.79
2020-01-13,QN41,1.0,54609,76453.56
2020-01-14,QN41,0.0,14118,28237.06
2020-01-15,QN41,1.0,59471,83259.95
2020-01-16,QN41,0.0,11519,23039.32
2020-01-17,QN41,1.0,54539,76354.87
2020-01-18,QN41,0.0,25923,51846.14
2020-01-19,QN41,2.0,8545,8117.84
2020-01-20,QN41,0.0,26183,52366.49
2020-01-21,QN41,0.0,17573,35146.95
2020-01-22,QN41,2.0,8745,8308.03
2020-01-23,QN41,2.0,8405,7985.09
2020-01-24,QN41,1.0,46531,65144.01
2020-01-25,QN41,0.0,16623,33247.93
2020-01-26,QN41,0.0,17625,35250.32
2020-01-27,QN41,0.0,15735,31470.21
2020-01-28,QN41,0.0,19911,39822.8
2020-01-29,QN41,1.0,51111,71556.12
2020-01-30,QN41,0.0,22533,45066.45
2020-01-31,QN41,1.0,49209,68893.55
2020-01-01,QN08,3.0,6649,5984.93
2020-01-02,QN08,0.0,7853,15706.8
2020-01-03,QN08,1.0,36975,51765.09
2020-01-04,QN08,0.0,3509,7018.96
2020-01-05,QN08,2.0,5743,5456.64
2020-01-06,QN08,2.0,5512,5237.13
2020-01-07,QN08,0.0,9781,19563.56
2020-01-08,QN08,0.0,8056,16113.27
2020-01-09,QN08,1.0,39363,55108.81
2020-01-10,QN08,0.0,6134,12269.35
2020-01-11,QN08,0.0,3722,7445.6
2020-01-12,QN08,0.0,6321,12642.23
2020-01-13,QN08,0.0,12656,25312.44
2020-01-14,QN08,2.0,5881,5587.29
2020-01-15,QN08,1.0,32169,45037.72
2020-01-16,QN08,1.0,38010,53214.48
2020-01-17,QN08,0.0,11629,23259.14
2020-01-18,QN08,2.0,5575,5296.58
2020-01-19,QN08,0.0,15461,30923.69
2020-01-20,QN08,0.0,13817,27634.44
2020-01-21,QN08,1.0,34397,48156.29
2020-01-22,QN08,0.0,3931,7863.19
2020-01-23,QN08,2.0,5345,5077.93
2020-01-24,QN08,0.0,13509,27018.57
2020-01-25,QN08,1.0,38693,54170.76
2020-01-26,QN08,0.0,15724,31448.7
2020-01-27,QN08,0.0,6889,13778.27
2020-01-28,QN08,0.0,17760,35521.98
2020-01-29,QN08,2.0,5354,5086.33
2020-01-30,QN08,1.0,30581,42813.61
2020-01-31,QN08,0.0,12934,25869.76
2020-01-01,BK44,0.0,6554,13109.58
2020-01-02,BK44,0.0,14464,28929.48
2020-01-03,BK44,1.0,35283,49397.57
2020-01-04,BK44,2.0,5175,4916.36
2020-01-05,BK44,0.0,16856,33712.58
2020-01-06,BK44,0.0,10338,20677.13
2020-01-07,BK44,0.0,9158,18317.24
2020-01-08,BK44,0.0,13991,27983.31
2020-01-09,BK44,0.0,15940,31881.14
2020-01-10,BK44,0.0,7612,15225.42
2020-01-11,BK44,0.0,11329,22658.74
2020-01-12,BK44,1.0,33152,46413.63
2020-01-13,BK44,0.0,5597,11194.89
2020-01-14,BK44,0.0,11856,23713.34
2020-01-15,BK44,0.0,5340,10680.64
2020-01-16,BK44,1.0,38818,54346.05
2020-01-17,BK44,0.0,12492,24985.62
2020-01-18,BK44,0.0,10082,20165.18
2020-01-19,BK44,1.0,29574,41403.94
2020-01-20,BK44,0.0,9476,18952.52
2020-01-21,BK44,2.0,5567,5289.57
2020-01-22,BK44,0.0,12633,25267.5
2020-01-23,BK44,0.0,8770,17540.62
2020-01-24,BK44,0.0,5537,11075.49
2020-01-25,BK44,1.0,33707,47189.97
2020-01-26,BK44,2.0,5751,5463.49
2020-01-27,BK44,0.0,15852,31705.36
2020-01-28,BK44,1.0,33428,46800.48
2020-01-29,BK44,2.0,5275,5012.1
2020-01-30,BK44,0.0,12855,25711.01
2020-01-31,BK44,0.0,9777,19554.54
2020-01-01,BK41,1.0,10938,15313.86
2020-01-02,BK41,1.0,10230,14323.06
2020-01-03,BK41,2.0,5430,5158.98
2020-01-04,BK41,0.0,1020,2040.92
2020-01-05,BK41,1.0,10968,15356.49
2020-01-06,BK41,1.0,12013,16818.79
2020-01-07,BK41,3.0,4252,3827.12
2020-01-08,BK41,1.0,11265,15771.28
2020-01-09,BK41,1.0,10449,14629.5
2020-01-10,BK41,0.0,1274,2549.78
2020-01-11,BK41,0.0,1913,3826.35
2020-01-12,BK41,1.0,12233,17126.24
2020-01-13,BK41,0.0,1618,3236.96
2020-01-14,BK41,0.0,1193,2387.73
2020-01-15,BK41,1.0,10523,14732.22
2020-01-16,BK41,1.0,10754,15055.6
2020-01-17,BK41,1.0,11185,15659.25
2020-01-18,BK41,1.0,13168,18435.75
2020-01-19,BK41,1.0,9813,13738.58
2020-01-20,BK41,2.0,5696,5411.68
2020-01-21,BK41,0.0,2374,4749.25
2020-01-22,BK41,0.0,1046,2093.57
2020-01-23,BK41,0.0,2463,4927.86
2020-01-24,BK41,1.0,12259,17163.33
2020-01-25,BK41,2.0,5528,5251.91
2020-01-26,BK41,5.0,4253,3828.04
2020-01-27,BK41,0.0,4426,8853.57
2020-01-28,BK41,0.0,2555,5110.29
2020-01-29,BK41,0.0,4737,9474.4
2020-01-30,BK41,0.0,2180,4360.91
2020-01-31,BK41,2.0,5233,4971.63
2020-01-01,BK95,0.0,5415,10830.55
2020-01-02,BK95,0.0,9589,19179.29
2020-01-03,BK95,1.0,16947,23726.03
2020-01-04,BK95,1.0,18520,25928.98
2020-01-05,BK95,2.0,8912,8466.96
2020-01-06,BK95,0.0,2446,4892.97
2020-01-07,BK95,0.0,1768,3537.74
2020-01-08,BK95,2.0,3173,3014.63
2020-01-09,BK95,0.0,6800,13601.01
2020-01-10,BK95,0.0,5160,10320.08
2020-01-11,BK95,0.0,6967,13934.2
2020-01-12,BK95,2.0,3187,3027.78
2020-01-13,BK95,0.0,6807,13615.77
2020-01-14,BK95,0.0,6582,13165.97
2020-01-15,BK95,3.0,3654,3289.0
2020-01-16,BK95,2.0,3147,2989.93
2020-01-17,BK95,0.0,1755,3510.55
2020-01-18,BK95,0.0,8716,17433.29
2020-01-19,BK95,2.0,3257,3094.99
2020-01-20,BK95,1.0,18365,25711.92
2020-01-21,BK95,0.0,8587,17175.07
2020-01-22,BK95,0.0,4501,9003.38
2020-01-23,BK95,0.0,4450,8900.41
2020-01-24,BK95,0.0,4665,9331.46
2020-01-25,BK95,2.0,3078,2924.49
2020-01-26,BK95,1.0,16181,22654.05
2020-01-27,BK95,0.0,9434,18868.68
2020-01-28,BK95,1.0,16958,23741.9
2020-01-29,BK95,1.0,22199,31078.89
2020-01-30,BK95,0.0,6579,13158.5
2020-01-31,BK95,0.0,7116,14233.84
2020-01-01,BX33,1.0,55399,77559.28
2020-01-02,BX33,0.0,19327,38654.91
2020-01-03,BX33,1.0,52010,72814.88
2020-01-04,BX33,0.0,12767,25535.72
2020-01-05,BX33,0.0,14145,28290.25
2020-01-06,BX33,2.0,8076,7673.09
2020-01-07,BX33,0.0,16528,33057.12
2020-01-08,BX33,2.0,8195,7785.26
2020-01-09,BX33,0.0,22122,44245.35
2020-01-10,BX33,0.0,19344,38688.9
2020-01-11,BX33,0.0,9440,18880.89
2020-01-12,BX33,0.0,6094,12188.94
2020-01-13,BX33,0.0,14879,29759.82
2020-01-14,BX33,0.0,5405,10811.15
2020-01-15,BX33,0.0,5650,11301.15
2020-01-16,BX33,2.0,7646,7263.73
2020-01-17,BX33,1.0,57977,81168.16
2020-01-18,BX33,0.0,19599,39198.45
2020-01-19,BX33,1.0,54839,76775.79
2020-01-20,BX33,1.0,46767,65473.93
2020-01-21,BX33,3.0,9354,8418.78
2020-01-22,BX33,0.0,16018,32036.84
2020-01-23,BX33,0.0,12615,25231.27
2020-01-24,BX33,0.0,10243,20487.14
2020-01-25,BX33,0.0,21466,42932.96
2020-01-26,BX33,1.0,57244,80142.09
2020-01-27,BX33,2.0,7708,7323.05
2020-01-28,BX33,0.0,9316,18633.77
2020-01-29,BX33,0.0,15905,31811.32
2020-01-30,BX33,0.0,21854,43709.59
2020-01-31,BX33,2.0,7696,7312.07
2020-01-01,BK69,0.0,2054,4109.03
2020-01-02,BK69,0.0,1163,2327.05
2020-01-03,BK69,1.0,5819,8147.22
2020-01-04,BK69,1.0,5879,8231.11
2020-01-05,BK69,0.0,1431,2862.42
2020-01-06,BK69,0.0,3136,6272.38
2020-01-07,BK69,1.0,7067,9894.83
2020-01-08,BK69,0.0,2332,4664.03
2020-01-09,BK69,2.0,3387,3217.74
2020-01-10,BK69,0.0,3346,6693.11
2020-01-11,BK69,0.0,2421,4843.49
2020-01-12,BK69,2.0,3392,3222.6
2020-01-13,BK69,1.0,6078,8510.15
2020-01-14,BK69,2.0,3185,3026.59
2020-01-15,BK69,0.0,1633,3266.39
2020-01-16,BK69,0.0,1872,3744.55
2020-01-17,BK69,0.0,1923,3846.22
2020-01-18,BK69,0.0,3322,6644.12
2020-01-19,BK69,1.0,6542,9159.75
2020-01-20,BK69,1.0,5763,8069.53
2020-01-21,BK69,2.0,3110,2954.89
2020-01-22,BK69,1.0,7140,9996.91
2020-01-23,BK69,1.0,7292,10209.15
2020-01-24,BK69,1.0,6607,9250.55
2020-01-25,BK69,0.0,2059,4119.93
2020-01-26,BK69,1.0,7547,10566.42
2020-01-27,BK69,2.0,3079,2925.28
2020-01-28,BK69,0.0,1494,2989.14
2020-01-29,BK69,1.0,6960,9744.76
2020-01-30,BK69,1.0,5862,8207.48
2020-01-31,BK69,2.0,3546,3368.9
2020-01-01,QN33,0.0,11067,22134.01
2020-01-02,QN33,2.0,3930,3733.54
2020-01-03,QN33,0.0,8758,17516.51
2020-01-04,QN33,2.0,3984,3784.95
2020-01-05,QN33,0.0,10878,21757.84
2020-01-06,QN33,0.0,8140,16281.18
2020-01-07,QN33,0.0,10624,21249.03
2020-01-08,QN33,1.0,22628,31679.23
2020-01-09,QN33,1.0,24997,34996.5
2020-01-10,QN33,2.0,3814,3623.86
2020-01-11,QN33,0.0,8627,17254.8
2020-01-12,QN33,2.0,3942,3745.78
2020-01-13,QN33,0.0,2473,4946.61
2020-01-14,QN33,0.0,3766,7532.46
2020-01-15,QN33,0.0,8087,16174.68
2020-01-16,QN33,0.0,11437,22874.8
2020-01-17,QN33,1.0,21988,30783.95
2020-01-18,QN33,0.0,13134,26268.62
2020-01-19,QN33,2.0,3814,3623.95
2020-01-20,QN33,1.0,26221,36709.81
2020-01-21,QN33,2.0,4196,3986.56
2020-01-22,QN33,0.0,6428,12856.01
2020-01-23,QN33,0.0,11708,23416.76
2020-01-24,QN33,0.0,7146,14293.36
2020-01-25,QN33,1.0,29415,41182.05
2020-01-26,QN33,0.0,12626,25252.74
2020-01-27,QN33,1.0,23789,33305.24
2020-01-28,QN33,0.0,10274,20548.08
2020-01-29,QN33,2.0,3805,3615.42
2020-01-30,QN33,0.0,9727,19454.35
2020-01-31,QN33,0.0,12226,24452.61
2020-01-01,BK43,1.0,2412,3377.87
2020-01-02,BK43,2.0,1305,1240.35
2020-01-03,BK43,0.0,3139,6278.39
2020-01-04,BK43,1.0,2593,3630.9
2020-01-05,BK43,1.0,3284,4598.55
2020-01-06,BK43,0.0,1293,2587.39
2020-01-07,BK43,0.0,1353,2706.12
2020-01-08,BK43,1.0,3283,4596.39
2020-01-09,BK43,0.0,4005,8011.62
2020-01-10,BK43,0.0,2322,4645.45
2020-01-11,BK43,0.0,4330,8661.89
2020-01-12,BK43,1.0,2639,3694.71
2020-01-13,BK43,0.0,1022,2044.12
2020-01-14,BK43,2.0,1322,1256.0
2020-01-15,BK43,2.0,1440,1368.87
2020-01-16,BK43,0.0,1532,3065.35
2020-01-17,BK43,0.0,3560,7120.87
2020-01-18,BK43,0.0,1279,2558.85
2020-01-19,BK43,0.0,2018,4036.19
2020-01-20,BK43,0.0,1440,2880.56
2020-01-21,BK43,0.0,1304,2608.93
2020-01-22,BK43,0.0,1434,2868.97
2020-01-23,BK43,1.0,2419,3386.62
2020-01-24,BK43,0.0,3932,7864.1
2020-01-25,BK43,0.0,1073,2147.32
2020-01-26,BK43,1.0,3101,4341.63
2020-01-27,BK43,1.0,2417,3384.94
2020-01-28,BK43,0.0,1326,2653.97
2020-01-29,BK43,0.0,1216,2433.26
2020-01-30,BK43,0.0,1321,2642.3
2020-01-31,BK43,0.0,1136,2273.35
2020-01-01,BK72,0.0,15362,30724.88
2020-01-02,BK72,1.0,53769,75276.78
2020-01-03,BK72,0.0,25269,50538.12
2020-01-04,BK72,1.0,43956,61538.9
2020-01-05,BK72,0.0,14250,28501.63
2020-01-06,BK72,1.0,46689,65365.69
2020-01-07,BK72,1.0,49616,69462.98
2020-01-08,BK72,2.0,7760,7372.41
2020-01-09,BK72,2.0,8517,8091.54
2020-01-10,BK72,0.0,26145,52290.63
2020-01-11,BK72,0.0,6105,12210.37
2020-01-12,BK72,2.0,7528,7152.46
2020-01-13,BK72,1.0,44525,62335.52
2020-01-14,BK72,1.0,52095,72933.19
2020-01-15,BK72,2.0,7956,7558.84
2020-01-16,BK72,1.0,47360,66304.37
2020-01-17,BK72,0.0,17119,34239.99
2020-01-18,BK72,0.0,22864,45728.95
2020-01-19,BK72,0.0,13054,26109.06
2020-01-20,BK72,2.0,7622,7240.94
2020-01-21,BK72,0.0,23217,46435.35
2020-01-22,BK72,0.0,20704,41409.45
2020-01-23,BK72,0.0,17551,35102.41
2020-01-24,BK72,5.0,9599,8639.76
2020-01-25,BK72,0.0,16996,33992.39
2020-01-26,BK72,0.0,4469,8938.5
2020-01-27,BK72,1.0,53533,74947.43
2020-01-28,BK72,1.0,48636,68091.37
2020-01-29,BK72,0.0,19455,38910.87
2020-01-30,BK72,0.0,20485,40970.3
2020-01-31,BK72,0.0,22537,45075.7
2020-01-01,BK75,3.0,5550,4995.48
2020-01-02,BK75,1.0,13750,19251.2
2020-01-03,BK75,0.0,1811,3623.55
2020-01-04,BK75,1.0,14475,20266.1
2020-01-05,BK75,2.0,6631,6299.96
2020-01-06,BK75,0.0,3398,6796.28
2020-01-07,BK75,1.0,16854,23596.12
2020-01-08,BK75,0.0,4324,8648.69
2020-01-09,BK75,0.0,5578,11156.81
2020-01-10,BK75,0.0,5313,10627.24
2020-01-11,BK75,1.0,13446,18824.57
2020-01-12,BK75,2.0,6622,6290.91
2020-01-13,BK75,0.0,1537,3075.46
2020-01-14,BK75,0.0,4621,9242.04
2020-01-15,BK75,1.0,17040,23857.19
2020-01-16,BK75,0.0,3122,6245.99
2020-01-17,BK75,0.0,6800,13601.75
2020-01-18,BK75,0.0,4089,8178.27
2020-01-19,BK75,1.0,12711,17795.72
2020-01-20,BK75,0.0,4101,8203.19
2020-01-21,BK75,1.0,14258,19961.69
2020-01-22,BK75,1.0,13324,18653.85
2020-01-23,BK75,2.0,7173,6814.82
2020-01-24,BK75,1.0,13587,19022.71
2020-01-25,BK75,2.0,6572,6243.8
2020-01-26,BK75,0.0,2195,4390.29
2020-01-27,BK75,0.0,6213,12427.02
2020-01-28,BK75,0.0,6282,12564.4
2020-01-29,BK75,0.0,5623,11247.06
2020-01-30,BK75,0.0,1631,3262.28
2020-01-31,BK75,0.0,3121,6242.6
2020-01-01,BK26,2.0,8592,8163.28
2020-01-02,BK26,0.0,26951,53903.26
2020-01-03,BK26,1.0,60854,85196.94
2020-01-04,BK26,0.0,24384,48768.2
2020-01-05,BK26,0.0,27841,55683.89
2020-01-06,BK26,1.0,62573,87602.52
2020-01-07,BK26,1.0,49950,69930.66
2020-01-08,BK26,2.0,8930,8483.61
2020-01-09,BK26,0.0,10886,21773.24
2020-01-10,BK26,0.0,28526,57053.05
2020-01-11,BK26,3.0,10716,9644.52
2020-01-12,BK26,0.0,19369,38738.92
2020-01-13,BK26,0.0,25470,50941.3
2020-01-14,BK26,1.0,59861,83806.71
2020-01-15,BK26,0.0,21181,42362.33
2020-01-16,BK26,2.0,9492,9017.73
2020-01-17,BK26,0.0,7979,15958.1
2020-01-18,BK26,0.0,5264,10528.73
2020-01-19,BK26,0.0,20291,40582.65
2020-01-20,BK26,2.0,8839,8397.63
2020-01-21,BK26,2.0,8634,8203.13
2020-01-22,BK26,1.0,54324,76054.1
2020-01-23,BK26,2.0,8935,8488.34
2020-01-24,BK26,0.0,21619,43238.39
2020-01-25,BK26,1.0,54970,76959.17
2020-01-26,BK26,0.0,7894,15789.25
2020-01-27,BK26,2.0,8782,8343.78
2020-01-28,BK26,0.0,23328,46656.12
2020-01-29,BK26,0.0,14749,29499.58
2020-01-30,BK26,0.0,22786,45573.16
2020-01-31,BK26,0.0,19046,38092.92
2020-01-01,BK29,0.0,2334,4669.2
2020-01-02,BK29,0.0,1123,2246.56
2020-01-03,BK29,0.0,1344,2689.0
2020-01-04,BK29,0.0,1066,2133.51
2020-01-05,BK29,0.0,2429,4859.01
2020-01-06,BK29,1.0,4436,6211.34
2020-01-07,BK29,0.0,2874,5748.15
2020-01-08,BK29,1.0,5373,7522.59
2020-01-09,BK29,1.0,4656,6519.78
2020-01-10,BK29,0.0,2465,4931.33
2020-01-11,BK29,0.0,2456,4912.13
2020-01-12,BK29,0.0,1659,3319.65
2020-01-13,BK29,0.0,3545,7091.07
2020-01-14,BK29,1.0,5827,8158.68
2020-01-15,BK29,0.0,3725,7451.55
2020-01-16,BK29,2.0,2503,2378.6
2020-01-17,BK29,1.0,5398,7558.11
2020-01-18,BK29,0.0,3910,7820.99
2020-01-19,BK29,1.0,4660,6524.37
2020-01-20,BK29,0.0,4744,9488.96
2020-01-21,BK29,0.0,2090,4181.0
2020-01-22,BK29,0.0,2581,5162.46
2020-01-23,BK29,0.0,2872,5745.79
2020-01-24,BK29,3.0,1988,1789.94
2020-01-25,BK29,1.0,4473,6262.91
2020-01-26,BK29,2.0,2494,2369.91
2020-01-27,BK29,0.0,2128,4256.94
2020-01-28,BK29,0.0,1985,3970.89
2020-01-29,BK29,1.0,5195,7273.05
2020-01-30,BK29,0.0,1410,2820.41
2020-01-31,BK29,1.0,6175,8645.85
2020-01-01,BK35,0.0,16302,32605.92
2020-01-02,BK35,0.0,11590,23181.41
2020-01-03,BK35,0.0,10670,21340.12
2020-01-04,BK35,1.0,27225,38115.93
2020-01-05,BK35,1.0,34305,48027.53
2020-01-06,BK35,0.0,10660,21320.52
2020-01-07,BK35,0.0,13415,26831.28
2020-01-08,BK35,1.0,34479,48271.27
2020-01-09,BK35,1.0,36295,50813.96
2020-01-10,BK35,0.0,3868,7737.24
2020-01-11,BK35,1.0,31941,44718.14
2020-01-12,BK35,1.0,32134,44987.81
2020-01-13,BK35,0.0,14002,28005.21
2020-01-14,BK35,0.0,12442,24885.3
2020-01-15,BK35,1.0,30162,42226.93
2020-01-16,BK35,0.0,12607,25215.89
2020-01-17,BK35,0.0,6035,12070.01
2020-01-18,BK35,0.0,8112,16224.5
2020-01-19,BK35,2.0,5492,5217.65
2020-01-20,BK35,1.0,36088,50523.66
2020-01-21,BK35,1.0,37744,52842.65
2020-01-22,BK35,2.0,4999,4749.97
2020-01-23,BK35,1.0,33868,47415.21
2020-01-24,BK35,0.0,8884,17769.62
2020-01-25,BK35,0.0,14260,28521.8
2020-01-26,BK35,1.0,32935,46109.51
2020-01-27,BK35,1.0,28623,40072.48
2020-01-28,BK35,0.0,12550,25101.7
2020-01-29,BK35,2.0,5418,5147.79
2020-01-30,BK35,0.0,13553,27107.11
2020-01-31,BK35,0.0,7098,14196.98
2020-01-01,BK96,0.0,2336,4672.14
2020-01-02,BK96,0.0,10555,21110.2
2020-01-03,BK96,0.0,10043,20087.13
2020-01-04,BK96,1.0,20233,28327.25
2020-01-05,BK96,2.0,3166,3008.03
2020-01-06,BK96,1.0,20088,28123.8
2020-01-07,BK96,1.0,24120,33769.06
2020-01-08,BK96,0.0,5272,10545.88
2020-01-09,BK96,0.0,2670,5341.53
2020-01-10,BK96,1.0,19569,27397.96
2020-01-11,BK96,0.0,5510,11021.88
2020-01-12,BK96,1.0,19023,26633.38
2020-01-13,BK96,0.0,5447,10894.65
2020-01-14,BK96,0.0,8583,17167.24
2020-01-15,BK96,1.0,24178,33850.28
2020-01-16,BK96,2.0,3178,3019.5
2020-01-17,BK96,0.0,8774,17548.96
